,ECCN Code,Description
377,3B991,Other Mfg/Test Equip. Not Controlled By 3B001
389,3C004,"Hydrides of Phosphorus, Arsenic, Or Antimony"
397,3C001,Hetero-Epitaxial Materials
401,3C006,"""Substrates"" Specified In 3C005 with At Least one Epitaxial Layer of S..."
420,1A004,Protective and Detection Equip.
423,7B611,"Test/Inspec/Produ/Commodities, for Military Fire Control, Laser, Imaging"
429,0A614,Military Training Equipment
436,2A291,Equip. related to Nuclear Material Handling and Processing...
443,1C355,Chemical Weapons Convention (Cwc) Schedule 2 and 3 Chemicals and Famil...
460,4A003,"“Digital Computers,” “Electronic assemblies"
463,3A002,General Purpose Electronic Equip
464,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101...
467,5C991,Preforms of Glass Or of Any Other Material Optimized for the Manufactu...
470,2B991,Numerical Control Units for Machine tools and “Numerically Controlled”...
476,3A981,Polygraphs/Fingerprint Analyzers/Cameras/Equip.
480,1A607,"Military dissemination ""equipment"" for riot control agents"
485,3A611,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101
486,9A991,No ECCN is required for License Exceptions TMP*
493,9A991,Military Electronics
498,2B999,"Specific Processing Equip., Ν.Ε.S."
501,18999,"Specific Processing Equip., N.E.S., as Follows (See List of Items Cont..."
513,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes"
517,N/A,No ECCN is required for license exception on TMP as per EAR 758.1.(g)(2)
523,5B002,"Information Security Test, Inspection and Production Equip., as follows"
525,5A992,Equipment not Controlled by 5A002
539,5D002,Software as follows (see List of Items Controlled)
550,3A611,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003
553,5D992,"""Information Security"" ""software"" not controlled by 5D002"
563,1C990,"Fibrous and Filamentary Materials, Not Controlled By 1C010 Or 1C210,..."
592,1C608,Energetic Materials and Related Commodities Not Listed Elsewhere In Us...
601,1C010,Fibrous/Filamentary Materials as follows (see List of Items Controlled)
602,1A004,Protective and Detection Equip
610,BLANK,No ECCN is required for License Exceptions TMP*
611,EAR99,No ECCN Reported
618,3B992,Equip. for the Inspection/Testing of Components not Controlled buy 3B002
619,3A991,"Electronic Devices and ""Components"" not controlled by 3A001"
622,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003 or 7A103
627,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes..."
642,5D002,Information Security
647,38991,Other Mfg/Test Equip. Not Controlled By 3B
649,38001,Epitaxial Equip. for Semiconductors
652,1C990,"Fibrous and Filamentary Materials, Not Controlled By 1C010 Or 1C210, f..."
656,7A994,Other Navigation Direction Finding Equip. Not Controlled under 7A003
662,1C210,"Fibrous/Filamentary Materials Not Controlled By 1C010.a, .b or .e"
673,0A617,"Miscellaneous Equip., Materials, and Related Commodities"
675,3E102,"""Technology"" for the ""Development"" of ""Software"" Controlled by 3D101"
677,0A979,"Police Helmets, Shields and Parts"
682,9B515,"Test, Inspection, and Production Equip. Specially Designed for Spacecr..."
698,9E515,"Technology Required for the Development, Production, Operation, Instal..."
699,9D515,"Software Specially Designed for the Development, Production Operation,..."
739,3B991,"Specific Processing Equip., Ν.Ε.Σ."
742,2B991,"Numerical Control Units for Machine tools and ""Numerically Controlled"""
788,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes,..."
796,3B992,Equip. for the Inspection/Testing of Components not controlled by 3B002
849,5B001,"Telecommunication Test, Inspection and Production Equip., ""Components"""
856,1C225,Boron Enriched In the Boron-10 (10B) Isotope to Greater Than Its Natur...
857,9A990,"Diesel Engines, N.E.S., and Tractors and “Specially Designed"
858,3A999,"Parts"""
859,3A992,"Specific Processing Equip., N.E.S."
860,1A999,General Purpose Electronic Equip. Note Controlled by 3A002
868,7A002,"Gyros and Angular Rate Sensors,"
878,1C008,Non-Fluorinated Polymeric Substances
890,3A999,"Specific Processing Equip., N.E.S. Not Controlled under 7A003"
900,98610,"Test, Inspection, and Production Equip. and Related Commodities Specia..."
905,8A001,Submersible Vehicles Or Surface Vessels
936,08604,"Test, Inspection, and Production ""Equip."" and Related Commodities ""Spe..."
947,9A990,"Diesel Engines, N.E.S., and Tractors and ""Specially Designed"" ""Parts"""
948,10992,Commercial Charges and Devices Containing Energetic Materials
949,10990,"Fibrous and Filamentary Materials, Not Controlled By 10010 Or 10210, f..."
957,5D002,"""Sortware"" as follows (see List of Items Controlled)"
968,1A006,Disposal of Improvised Explosive Devices
976,1A999,"Specific Processing Equip., N.E.S"
978,2B999,"Specific Processing Equip., Ν.Ε.Σ."
979,1B999,"Specific Processing Equip., N.E.S., as Follows (See List of Items Cont..."
987,0A985,Discharge Type Arms and devices to administer electric shock
993,Blank,Blank No ECCN is required for License Exceptions TMP*
996,EAR99,EAR99 Items subject to the EAR that are not elsewhere controlled
1007,1C202,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows
1008,9A010,"""Specially Designed"" ""Parts,"" ""Components,"" Systems and Structures, fo..."
1009,9A990,"Diesel Engines, N.E.S., and Tractors and ""Specially Designed"" ""Parts"" ..."
1013,2B350,Chemical Manufacturing Facilities and Equip
1018,1C991,"Vaccines, Immunotoxins and Medical Products"
1021,1C996,"Hydraulic Fluids Containing Synthetic Hydrocarbon Oils, Not Controlled..."
1052,3A992,Equip. for the Inspection/Testing of Components not Controlled by 3B002
1069,Blank,No ECCN is required for License Exceptions TMP*
1093,1C210,"Fibrous/Filamentary Materials Not Controlled By 1C010.a, .b or .e,"
1094,0A503,Discharge type arms; non-lethal or less-lethal grenades and projectile
1097,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A1
1106,5A992,Equipment not controlled by 5A002 (see List of Items Controlled).
1108,3B992,Equip. for the Inspection/Testing of Components not Controlled buy 3B
1114,3A992,General Purpose Electronic Equip. Not Controlled by 3A002
1128,4A003,"""Digital Computers,"" ""Electronic assemblies"" and Related Equip. theref"
1130,5B002,"""Information Security” test, inspection and ""production"" equipment"
1142,3B992,"Specific Processing Equip., N.E.S."
1143,3A999,Telecommunications Test Equip.
1144,8A992,"Marine Or Terrestrial Acoustic Equip., N.E.S., Capable of Detecting Or"
1147,7B611,"Test, inspection, and production commodities ""specially designed"" for"
1148,9B619,"Test, Inspection, and Production Equip. and Related Commodities Specia"
1151,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia"
1158,5B002,"""Information Security"" test, inspection and ""production"" equipment"
1168,9B990,"Vibration Test Equip. and ""Specially Designed"" ""Parts"" and ""Components"
1170,1C999,"Specific Materials, N.E.S., as Follows (See List of Items Controlled)."
1180,0A504,Optical sighting devices for firearms (including shotguns controlled b
1184,0A501,Firearms (except 0A502 shotguns) and related commodities as follows (s
1187,5D002,'Software' as follows (see List of Items Controlled)
1204,18999,"Specific Processing Equip., N.E.S., as Follows (See List of Items Cont"
1208,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, etc."
1211,9B610,"Test, Inspection, and Production Equip. and Related Commodities Special to Military Applications"
1213,7A103,"Instrumentation, Navigation Equip./Systems Not Controlled by 7A003"
1214,7A611,"Navigation and Avionics equipment and systems, and ""parts,"" ""component"
1219,9B604,"Test, Inspection, Production Equip. and Related Commodities Designed for Military Applications"
1222,9D610,"Software for Commodities Controlled by 9A610, 9B610, 9C610"
1228,5A992,Equipment not controlled by 5A002 (see List of Items Controlled)
1232,3B992,Equip. for the Inspection/Testing of Components not Controlled buy 3B0
1234,5D992,"""Information Security"" ""software"" not controlled by 5D002 as follows (see List of Items Controlled)"
1240,1C111,"Propellants and Constituent Chemicals, for Propellants, Other Than Those"
1241,7A611,"Navigation and Avionics equipment and systems, and parts, component"
1251,9B619,"Test, Inspection, and Production Equip. and Related Commodities Special"
1256,3B992,Equip. for the Inspection/Testing of Components not controlled buy 3B0
1261,6A995,Lasers as Follows (See List of Items Controlled).
1264,2A291,Equip. related to Nuclear Material Handling and Processing
1270,28001,Machine tools/Numerical Control Units
1273,28201,Machine tools for Removing Or Cutting Metals
1295,0A501,Firearms (except 0A502 shotguns) and related commodities as follows
1301,0A505,Ammunition as follows (see List of Items Controlled)
1306,No ECCN,No ECCN No ECCN is required for License Exceptions TMP*
1311,0A614,Military Training Equip.
1331,9B515,"Test, Inspection, and Production Equip. Specially Designed for Spacecr"
1337,No ECCN,No ECCN No ECCN is required for License Exceptions TMP
1352,1B231,"Tritium Facilities Or Plants, and Equip. therefor, as Follows (See Lis"
1367,9E991,Technology for the Dev/Prod/use with Items In 9A991 Or 9B991
1372,3B002,"""Test Equip."" for Semiconductors Devices"
1394,0A505,Ammunition
1399,9B610,"Test, Inspection, and Production Equip. and Related Commodities Special"
1404,5D002,'Software'
1414,1C990,"Fibrous and Filamentary Materials, Not Controlled By 1C010 Or 1C210,"
1418,2A001,Anti-Friction Bearings and Bearing Systems
1425,0A998,"Oil and Gas Exploration Equip., Software, and Data"
1426,7A994,Other Navigation Direction Finding Equip.
1428,8A992,"Vessels, Marine Systems or Equip. not Controlled by 8A001 or 8A002"
1429,5A001,Telecommunications/Transmission Equip
1442,N/A,No ECCN is required for License Exceptions TMP
1444,7A611,"Navigation and Avionics equipment and systems, and ""parts"", ""component"
1461,0A501,Firearms (except 0A502 shotguns) and related commodities
1462,0A504,Optical sighting devices for firearms (including shotguns controlled by 0A502)
1463,2B350,"Chemical manufacturing facilities and equipment, except valves controlled by 2B350.a"
1464,9A610,"Military Aircraft and Related Commodities, Other Than Those Enumerated"
1465,3A611,Military electronics
1466,7A103,"Instrumentation, navigation equipment and systems"
1467,1C350,Chemicals that may be used as precursors for toxic chemical agents
1468,9A515,Spacecraft and related commodities
1469,6A003,"Cameras, Systems or Equipment, and Components Therefor"
1470,5A002,"Information security systems, equipment and components"
1471,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A002"
1473,EAR99,Items subject to the EAR that are not elsewhere specified in this CCL
1474,5D002,Software
1475,7A611,"Military fire control, laser, imaging, and guidance equipment"
1476,3A002,"General purpose electronic assemblies, modules and equipment"
1481,2B999,"Specific Processing Equipment, n.e.s."
1482,5A991,"Telecommunication equipment, not controlled by 5A001"
1484,7A994,"Other navigation direction finding equipment, airborne communication equipment"
1485,4A994,"Commercial charges and devices containing energetic materials, n.e.s."
1486,3A999,"Specific Processing Equipment, n.e.s."
1487,1C992,Protective and detection equipment not specially designed for military use
1488,8A992,"Computers, electronic assemblies and related equipment not controlled by 4A001 or 4A002"
1490,3A611,"Military electronics, as follows (see List of Items Controlled)."
1491,3A231,"Neutron generator systems, including tubes, having both of the characteristics (see List of Items Controlled)."
1492,5D002,"Software, as follows (see List of Items Controlled)."
1493,9A619,Military gas turbine engines and related commodities (see List of Items Controlled).
1494,5A002,"Information security systems, equipment and components, as follows (see List of Items Controlled)."
1495,1A007,"Equipment and devices, specially designed to initiate charges and detonate (see List of Items Controlled)."
1496,0A503,Discharge type arms; non-lethal or less-lethal grenades and projectiles (see List of Items Controlled).
1497,1A004,"Protective and Detection Equipment and Components, Not Specially Designed to Initiate Charges and Detonate (see List of Items Controlled)."
1498,0A606,"Ground vehicles and related commodities, as follows (see List of Items Controlled)."
1502,3B611,"Test, inspection, and production commodities for military electronics, as follows (see List of Items Controlled)."
1503,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A002 (see List of Items Controlled)."
1504,5A991,"Telecommunication equipment, not controlled by 5A001 (see List of Items Controlled)."
1506,7E101,"Technology, according to the General Technology Note for the use of items on the Commerce Control List (see List of Items Controlled)."
1507,6A008,"Radar systems, equipment and assemblies, having any of the following (see List of Items Controlled)."
1511,7A994,"Other navigation direction finding equipment, airborne communication equipment, not controlled by 5A001 (see List of Items Controlled)."
1512,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A003 or 4A004 (see List of Items Controlled)."
1513,2B999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)."
1514,1C992,"Commercial charges and devices containing energetic materials, n.e.s. (see List of Items Controlled)."
1515,9A610,"Military Aircraft and Related Commodities, Other Than Those Enumerated (see List of Items Controlled)."
1516,3A992,General purpose electronic equipment not controlled by 3A002 (see List of Items Controlled).
1517,8A992,"Vessels, marine systems or equipment, not controlled by 8A001 or 8A002 (see List of Items Controlled)."
1520,9B610,"Test, inspection, and production equipment and related commodities"
1521,0A505,Ammunition as follows
1522,3A611,"Military electronics, as follows"
1523,9A619,Military gas turbine engines and related commodities
1524,9B619,"Test, inspection, and production equipment and related commodities"
1526,1A613,Armored and protective equipment and related commodities
1527,0A606,Ground vehicles and related commodities
1528,0A614,Military training equipment
1534,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or"
1536,0A604,Commodities related to military explosive devices and charges
1542,7A994,"Other navigation direction finding equipment, airborne communication e"
1543,9A990,"Diesel engines, n.e.s., and tractors and specially designed parts"
1544,8A992,"Vessels, marine systems or equipment, not controlled by 8A001 or 8A002"
1545,4A994,"Computers, electronic assemblies and related equipment not controlle"
1547,3A992,General purpose electronic equipment not specially designed for milita
1549,0A504,Optical sighting devices for firearms (including shotguns controlled by 0A504)
1550,5A002,"Information security systems, equipment and components, as follows"
1551,6A003,"Cameras, Systems or Equipment, and Components Therefor, as Follows"
1552,1A004,"Protective and Detection Equipment and Components, Not Specially Designed for Firearms"
1553,6A993,"Cameras, not controlled by 6A003 or 6A203, as follows (see List of Items Controlled)"
1554,1C351,"Human and animal pathogens and toxins, as follows (see List of Items Controlled)"
1555,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A101"
1556,3A991,"Electronic devices, and components not controlled by 3A001"
1557,5A991,"Telecommunication equipment, not controlled by 5A001 (see List of Items Controlled)"
1558,7A994,"Other navigation direction finding equipment, airborne communication equipment, and components therefor, as follows (see List of Items Controlled)"
1560,2B991,Numerical control units for machine tools and numerically controlled machine tools
1561,1A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1562,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A003"
1563,3A992,General purpose electronic equipment not controlled by 3A002
1564,3A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1576,9A619,Military gas turbine engines
1578,0A501,Firearms
1579,6A001,"Acoustic systems, equipment and components"
1580,1C350,Chemicals
1581,2B352,Equipment Capable of Use in Handling Biological Materials
1582,0A503,Discharge type arms
1584,2B001,Machine tools
1589,5D992,Information Security software not controlled by 5D002
1590,EAR99,Items subject to the EAR that are not elsewhere specified
1591,8A001,Submersible Vehicles and Surface Vessels
1592,7A994,Other navigation direction finding equipment
1593,3A001,Electronic items
1595,9A991,"Aircraft, n.e.s., and gas turbine engines"
1597,2B999,Specific Processing Equipment
1598,5A991,Telecommunication equipment
1600,8A992,"Vessels, marine systems or equipment"
1601,1C990,Fibrous and filamentary materials
1602,3A999,Specific Processing Equipment
1603,4A994,"Computers, electronic assemblies"
1604,1C992,Commercial charges and devices
1607,0A504,Optical sighting devices for firearms (including shotguns controlled by
1608,0A502,"Shotguns; shotguns ""parts"" and ""components,"" consisting of complete items"
1609,0A606,"Ground vehicles and related commodities, as follows"
1611,1C351,"Human and animal pathogens and toxins, as follows"
1614,9A515,"""Spacecraft"" and related commodities, as follows"
1615,9A001,Aero gas turbine engines having any of the following
1616,5A002,"""Information security"" systems, equipment and ""components,"" as follows"
1618,8A001,"Submersible Vehicles and Surface Vessels, as Follows"
1620,9A991,"""Aircraft,"" n.e.s., and gas turbine engines not controlled by 9A001 or"
1622,6A003,"Cameras, Systems or Equipment, and “Components” Therefor, as Follows"
1634,6A993,"Cameras, not controlled by 6A003 or 6A203, as follows"
1639,3B991,Equipment not controlled by 3B001 for the manufacture of electronic products
1641,2B352,Equipment capable of use in handling biological materials
1643,1C210,Fibrous or filamentary materials
1650,5B002,"Information Security test, inspection and production equipment"
1651,2B230,All types of pressure transducers capable of measuring absolute pressure
1652,6A005,"Lasers, components and optical equipment"
1654,3B001,Equipment for the manufacturing of semiconductor devices or materials
1659,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic devices
1660,3A991,Electronic devices and components
1661,3A999,Specific processing equipment
1662,4A994,"Computers, electronic assemblies and related equipment"
1664,3A992,General purpose electronic equipment
1666,1A607,"Military dissemination equipment for riot control agents, military"
1667,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by"
1669,2B001,Discharge type arms; non-lethal or less-lethal grenades and projectile
1670,5A002,"Machine tools and any combination thereof, for removing (or cutting) m"
1671,1A984,"Information security systems, equipment and components"
1672,0A501,"Chemical agents, including tear gas formulation containing 1 percent o"
1673,78611,Firearms (except 0A502 shotguns) and related commodities as follows
1677,5A001,"Telecommunications systems, equipment, components and accessories"
1679,1A004,Protective and Detection Equipment and Components
1681,6A003,"Cameras, Systems or Equipment, and Components"
1687,1A995,Protective and detection equipment not specially designed for military
1689,4A994,"Computers, electronic assemblies and related equipment not controlled by"
1692,1C992,"Commercial charges and devices containing energetic materials, n.e.s"
1695,1C351,Human and animal pathogens and toxins
1702,9B610,"Test, inspection, and production equipment"
1708,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A610"
1718,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A001"
1721,3A991,Electronic devices and components not controlled by 3A001
1725,9A515,"""Spacecraft"" and related commodities"
1727,1C107,Graphite and Ceramic Materials
1737,9A991,"""Aircraft"", n.e.s., and gas turbine engines not controlled by 9A001 or"
1740,5D002,"""Software"""
1747,3B991,Equipment not controlled by 3B001
1748,4A994,Computers
1749,3A991,Electronic devices
1751,6A998,Radar systems
1754,7A103,"Instrumentation, navigation equipment and systems, other than those co"
1757,3A611,"Military electronics, as follows (see List of Items Controlled)"
1758,7A003,"'Inertial Measurement Equipment or Systems', Having any of the Followi"
1759,0A606,"Ground vehicles and related commodities, as follows (see List of Items"
1760,9A515,"""Spacecraft"" and related commodities, as follows (see List of Items Co"
1761,6A002,"Optical Sensors and Equipment, and ""Components"" Therefor, as Follows"
1762,9A619,Military gas turbine engines and related commodities (see List of Item
1772,9A604,"Commodities related to launch vehicles, missiles, and rockets"
1775,3B991,"Equipment not controlled by 3B001 for the manufacture of electronic ""p"
1777,5A991,"Telecommunication equipment, not controlled by 5A001 (see List of Item"
1778,3A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items C"
1779,6A998,"Radar systems, equipment and major ""components"", n.e.s., and ""speciall"
1780,3A991,"Electronic devices, and ""components"" not controlled by 3A001"
1781,1C210,"""Fibrous or filamentary materials"" or prepregs, other than those contr"
1782,4A994,"Computers, ""electronic assemblies"" and related equipment not controlle"
1786,3A001,Electronic items as follows
1787,2B201,"Machine tools, and any combination thereof, other than those controlled by 2B001"
1789,6A008,"Radar systems, equipment and assemblies"
1795,5D002,Software as follows
1797,5B002,"Digital computers, electronic assemblies, and related equipment"
1806,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A003 or 4A203"
1808,6A993,"Cameras, not controlled by 6A003 or 6A203"
1814,9A515,"Spacecraft and related commodities, as follows (see List of Items Controlled)"
1815,3A001,Electronic items as follows (see List of Items Controlled).
1817,9A619,Military gas turbine engines and related commodities (see List of Items Controlled)
1818,3A233,"Mass spectrometers, capable of measuring ions of 230 atomic mass units"
1819,2B201,"Machine tools, and any combination thereof, other than those controlled"
1824,5B002,"Information Security test, inspection and production equipment, as follows"
1829,7A103,"Instrumentation, navigation equipment and systems, other than those controlled"
1836,2B999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1838,2B991,Numerical control units for machine tools and numerically controlled
1839,3A992,General purpose electronic equipment not controlled by 3A002.
1841,5B991,"Telecommunications test equipment, n.e.s"
1843,2B350,"Chemical manufacturing facilities and equipment, except valves control"
1847,6A003,"Cameras, Systems or Equipment, and ""Components"" Therefor, as Follows ("
1850,1C350,Chemicals that may be used as precursors for toxic chemical agents (se
1851,1A004,"Protective and Detection Equipment and ""Components,"" Not ""Specially De"
1854,5D002,"""Software"" as follows (see List of Items Controlled)."
1857,1C006,"Fluids and lubricating materials, as follows (see List of Items Contro"
1865,2B999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items C"
1866,1C992,"Commercial charges and devices containing energetic materials, n.e.s."
1867,1C355,Chemical Weapons Convention (CWC) Schedule 2 and 3 chemicals and famil
1868,3A991,"Electronic devices, and ""components"" not controlled by 3A001."
1870,4A994,"Computers, “electronic assemblies” and related equipment not controlle"
1877,7A003,Inertial Measurement Equipment or Systems
1880,1A984,Chemical agents
1888,1C006,Fluids and lubricating materials
1890,3C003,Organo-inorganic compounds
1892,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001"
1893,3B991,Equipment not controlled by 3B001 for the manufacture of electronic
1896,3B992,Equipment not controlled by 3B002 for the inspection or testing of ele
1907,8A609,Surface vessels of war and related commodities
1908,7B611,"Test, inspection, and production commodities specially designed for"
1922,3B991,Equipment not controlled by 3B001 for the manufacture of electronic printed circuit boards
1926,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic components
1927,3A999,"Electronic devices, and components not controlled by 3A001"
1928,2B999,Equipment not controlled by 3B002 for the inspection or testing of electronic components
1929,2B230,"Specific Processing Equipment, n.e.s."
1933,7A003,"Inertial Measurement Equipment or Systems, Having any of the Following"
1935,0A606,"Ground vehicles and related commodities, as follows (see List of Items Controlled)"
1936,7A611,"Military fire control, laser, imaging, and guidance equipment, as follows (see List of Items Controlled)"
1937,0A614,"Military training equipment, as follows (see List of Items Controlled)"
1940,1C111,"Propellants and constituent chemicals for propellants, other than those"
1946,8A609,Surface vessels of war and related commodities (see List of Items Controlled)
1948,3A001,Electronic items as follows (see List of Items Controlled)
1950,3B991,"Equipment not controlled by 3B001 for the manufacture of electronic ""printed circuit boards"""
1951,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic assemblies
