,Country,Year,ECCN Code,Description,Rank,Ranking
66,China,2018,9A610,Military Aircraft and Related Commodities,7,License
67,China,2018,1C202,Protective and Detection Equip.,8,License
68,China,2018,1C002,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows,9,License
69,China,2018,3C004,"Hydrides of Phosphorus, Arsenic, Or Antimony",10,License
70,China,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
71,China,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,Exceptions
72,China,2018,5D002,"""Software"" as follows (see List of Items Controlled)",3,Exceptions
73,China,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,4,Exceptions
74,China,2018,3A001,Electronic Components,5,Exceptions
75,China,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",6,Exceptions
76,China,2018,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",7,Exceptions
77,China,2018,2B230,Pressure Transducers,8,Exceptions
78,China,2018,3B001,Epitaxial Equip. for Semiconductors,9,Exceptions
79,China,2018,1C006,Fluids and Lubricating Materials,10,Exceptions
80,China,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
81,China,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,2,NLR with ECCN
82,China,2018,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
83,China,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
84,China,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,5,NLR with ECCN
85,China,2018,3A999,"Specific Processing Equip., N.E.S.",6,NLR with ECCN
86,China,2018,3A991,Electronic Devices and Components,7,NLR with ECCN
87,China,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,8,NLR with ECCN
88,China,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,9,NLR with ECCN
89,China,2018,4A994,Computers Not Controlled By 4A001 or 4A003,10,NLR with ECCN
90,France,2018,9A610,Military Aircraft and Related Commodities,1,License
91,France,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",2,License
92,France,2018,9A619,Military Gas Turbine Engines and Related Commodities,3,License
93,France,2018,3A611,Military Electronics,4,License
94,France,2018,7A002,"Gyros and Angular Rate Sensors, ...",5,License
95,France,2018,7A001,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007 ...",6,License
96,France,2018,1C351,Accelerometers for use In Navigation Or Guidance S,7,License
97,France,2018,1C351,Human and Animal Pathogens and toxins,8,License
98,France,2018,9A515,Spacecraft and Related Commodities,9,License
99,France,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,10,License
100,France,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
101,France,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
102,France,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,3,Exceptions
103,France,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,4,Exceptions
104,France,2018,5D002,"""Sortware"" as follows (see List of Items Controlled)",5,Exceptions
105,France,2018,3A001,Electronic Components,6,Exceptions
106,France,2018,9A515,Spacecraft and Related Commodities,7,Exceptions
107,France,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,8,Exceptions
108,France,2018,3A611,Military Electronics,9,Exceptions
109,France,2018,Blank,No ECCN Reported for TMP*,10,Exceptions
110,France,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
111,France,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,2,NLR with ECCN
112,France,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,3,NLR with ECCN
113,France,2018,5A992,Equipment not controlled by 5A002,4,NLR with ECCN
114,France,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
115,France,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,6,NLR with ECCN
116,France,2018,4A994,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
117,France,2018,3A999,Electronic Devices and Components,8,NLR with ECCN
118,France,2018,1A995,Protective and Detection Equip.,9,NLR with ECCN
119,France,2018,6A998,"Radar Systems, Equip. and Major “Components,” N.E.S., and ""Specially D...",10,NLR with ECCN
120,Germany,2018,9A610,Military Aircraft and Related Commodities,1,License
121,Germany,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",2,License
122,Germany,2018,7A002,"Gyros and Angular Rate Sensors, ...",3,License
123,Germany,2018,0A606,Ground Vehicles and Related Commodities,4,License
124,Germany,2018,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes,...",5,License
125,Germany,2018,3A611,Military Electronics,6,License
126,Germany,2018,9A619,Military Gas Turbine Engines and Related Commodities,7,License
127,Germany,2018,3A001,Electronic Components,8,License
128,Germany,2018,0A982,"Handcuffs, Leg Irons and Shackles",9,License
129,Germany,2018,1C001,Materials used as Electromagnetic Wave Absorbers/P,10,License
130,Germany,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
131,Germany,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
132,Germany,2018,3A611,Military Electronics,3,Exceptions
133,Germany,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,4,Exceptions
134,Germany,2018,5D002,"""Software"" as follows (see List of Items Controlled)",5,Exceptions
135,Germany,2018,0A614,Military Training Equipment,6,Exceptions
136,Germany,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",7,Exceptions
137,Germany,2018,6A003,Cameras,8,Exceptions
138,Germany,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",9,Exceptions
139,Germany,2018,9A619,Military Gas Turbine Engines and Related Commodities,10,Exceptions
140,Germany,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
141,Germany,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
142,Germany,2018,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
143,Germany,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,4,NLR with ECCN
144,Germany,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
145,Germany,2018,3A999,"Specific Processing Equip., N.E.S.",6,NLR with ECCN
146,Germany,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B001,7,NLR with ECCN
147,Germany,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,8,NLR with ECCN
148,Germany,2018,4A994,Computers Not Controlled By 4A001 or 4A003,9,NLR with ECCN
149,Germany,2018,3A991,Electronic Devices and Components,10,NLR with ECCN
150,Hong Kong,2018,6A005,Systems/Equip./Integrated Circuits for Info Sec,1,License
151,Hong Kong,2018,3A001,Electronic Components,2,License
152,Hong Kong,2018,0A987,Optical Sighting Devices for Firearms,3,License
153,Hong Kong,2018,5A002,Optical Equip. (Lasers),4,License
154,Hong Kong,2018,1C351,Protective and Detection Equip.,5,License
155,Hong Kong,2018,1A004,"Technology Required for the Development, Production, Operation, Instal...",6,License
156,Hong Kong,2018,9E515,"Instrumentation, Navigation Equip./Systems Not",7,License
157,Hong Kong,2018,7A103,"Chemical Agents, Including Tear Gas",8,License
158,Hong Kong,2018,1A984,General Purpose Electronic Equip.,9,License
159,Hong Kong,2018,3A002,Human and Animal Pathogens and toxins,10,License
160,Hong Kong,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
161,Hong Kong,2018,5D002,Information Security software related to encryption,2,Exceptions
162,Hong Kong,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,3,Exceptions
163,Hong Kong,2018,3A001,Electronic Components,4,Exceptions
164,Hong Kong,2018,No ECCN,No ECCN is required for License Exceptions TMP*,5,Exceptions
165,Hong Kong,2018,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",6,Exceptions
166,Hong Kong,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",7,Exceptions
167,Hong Kong,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,8,Exceptions
168,Hong Kong,2018,5D992,Information Security Software not controlled by 5D002,9,Exceptions
169,Hong Kong,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,10,Exceptions
170,Hong Kong,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
171,Hong Kong,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,2,NLR with ECCN
172,Hong Kong,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,3,NLR with ECCN
173,Hong Kong,2018,5A992,Mass market Encryption Commodities not controlled by 5A002,4,NLR with ECCN
174,Hong Kong,2018,3A991,Electronic Devices and Components,5,NLR with ECCN
175,Hong Kong,2018,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003,6,NLR with ECCN
176,Hong Kong,2018,4A994,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
177,Hong Kong,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,8,NLR with ECCN
178,Hong Kong,2018,3A999,"Specific Processing Equip., N.E.S.",9,NLR with ECCN
179,Hong Kong,2018,2B999,"Specific Processing Equip., N.E.S",10,NLR with ECCN
180,India,2018,9A610,Military Aircraft and Related Commodities,1,License
181,India,2018,3A611,Military Electronics,2,License
182,India,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",3,License
183,India,2018,9A515,Spacecraft and Related Commodities,4,License
184,India,2018,9A619,Military Gas Turbine Engines and Related Commodities,5,License
185,India,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,6,License
186,India,2018,3A233,Mass Spectrometers,7,License
187,India,2018,3A001,Electronic Components,8,License
188,India,2018,1C202,Chemical Manufacturing Facilities and Equip.,9,License
189,India,2018,2B350,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows,10,License
190,India,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
191,India,2018,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",2,Exceptions
192,India,2018,3A001,Electronic Components,3,Exceptions
193,India,2018,5D002,"""Software"" as follows (see List of Items Controlled)",4,Exceptions
194,India,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,5,Exceptions
195,India,2018,4A001,Ruggedized Electronic Computers/Related Equip.,6,Exceptions
196,India,2018,3A611,Military Electronics,7,Exceptions
197,India,2018,9A610,Military Aircraft and Related Commodities,8,Exceptions
198,India,2018,No ECCN,No ECCN is required for License Exceptions TMP*,9,Exceptions
199,India,2018,3A002,General Purpose Electronic Equip,10,Exceptions
200,India,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
201,India,2018,5A992,Equipment not controlled by 5A002,2,NLR with ECCN
202,India,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,3,NLR with ECCN
203,India,2018,4A994,Computers Not Controlled By 4A001 or 4A003,4,NLR with ECCN
204,India,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,5,NLR with ECCN
205,India,2018,3A999,"Specific Processing Equip., N.E.S.",6,NLR with ECCN
206,India,2018,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003,7,NLR with ECCN
207,India,2018,3A991,Electronic Devices and Components,8,NLR with ECCN
208,India,2018,2B999,"Specific Processing Equip., N.E.S.",9,NLR with ECCN
209,India,2018,5B991,Telecommunications Test Equip,10,NLR with ECCN
210,Israel,2018,9A610,Military Aircraft and Related Commodities,1,License
211,Israel,2018,9A619,Military Gas Turbine Engines and Related Commodities,2,License
212,Israel,2018,0A606,Ground Vehicles and Related Commodities,3,License
213,Israel,2018,3A611,Military Electronics,4,License
214,Israel,2018,2B350,Chemical Manufacturing Facilities and Equip.,5,License
215,Israel,2018,2B230,Pressure Transducers,6,License
216,Israel,2018,0A604,Commodities Related to Military Explosive Devices and Charges,7,License
217,Israel,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,8,License
218,Israel,2018,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, ...",9,License
219,Israel,2018,3A001,Electronic Components,10,License
220,Israel,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
221,Israel,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
222,Israel,2018,9A619,Military Gas Turbine Engines and Related Commodities,3,Exceptions
223,Israel,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,4,Exceptions
224,Israel,2018,3A001,Electronic Components,5,Exceptions
225,Israel,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,6,Exceptions
226,Israel,2018,3A611,Military Electronics,7,Exceptions
227,Israel,2018,3B001,Epitaxial Equip. for Semiconductors,8,Exceptions
228,Israel,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,9,Exceptions
229,Israel,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
230,Israel,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
231,Israel,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,3,NLR with ECCN
232,Israel,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
233,Israel,2018,5A992,Equipment not controlled by 5A002,5,NLR with ECCN
234,Israel,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,6,NLR with ECCN
235,Israel,2018,4A994,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
236,Israel,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,8,NLR with ECCN
237,Israel,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,9,NLR with ECCN
238,Israel,2018,3A991,Electronic Devices and Components,10,NLR with ECCN
239,Japan,2018,9A610,Military Aircraft and Related Commodities,1,License
240,Japan,2018,9A619,Military Gas Turbine Engines and Related Commodities,2,License
241,Japan,2018,3A611,Military Electronics,3,License
242,Japan,2018,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, ...",4,License
243,Japan,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",5,License
244,Japan,2018,9A515,Spacecraft and Related Commodities,6,License
245,Japan,2018,3A001,Electronic Components,7,License
246,Japan,2018,7A611,"Navigation and Avionics equipment and systems, and parts",8,License
247,Japan,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,9,License
248,Japan,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",10,License
249,Japan,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
250,Japan,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
251,Japan,2018,9A619,Military Gas Turbine Engines and Related Commodities,3,Exceptions
252,Japan,2018,3A611,Military Electronics,4,Exceptions
253,Japan,2018,5D002,Software as follows (see List of Items Controlled),5,Exceptions
254,Japan,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,6,Exceptions
255,Japan,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,7,Exceptions
256,Japan,2018,No ECCN,No ECCN is required for License Exceptions TMP*,8,Exceptions
257,Japan,2018,6A003,Cameras,9,Exceptions
258,Japan,2018,3A001,Electronic Components,10,Exceptions
259,Japan,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
260,Japan,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,2,NLR with ECCN
261,Japan,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,3,NLR with ECCN
262,Japan,2018,5A992,Mass Market Encryption Commodities not controlled by 5A002,4,NLR with ECCN
263,Japan,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,5,NLR with ECCN
264,Japan,2018,4A994,Computers Not Controlled By 4A001 or 4A003,6,NLR with ECCN
265,Japan,2018,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003,7,NLR with ECCN
266,Japan,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,8,NLR with ECCN
267,Japan,2018,3A991,Electronic Devices and Components,9,NLR with ECCN
268,Japan,2018,2B999,"Specific Processing Equip., N.E.S",10,NLR with ECCN
269,Korea,2018,0A606,Ground Vehicles and Related Commodities,1,License
270,Korea,2018,9A610,Military Aircraft and Related Commodities,2,License
271,Korea,2018,9A619,Military Gas Turbine Engines and Related Commodities,3,License
272,Korea,2018,3A611,Military Electronics,4,License
273,Korea,2018,1C351,Human and Animal Pathogens and toxins,5,License
274,Korea,2018,7A611,"Navigation and Avionics equipment and systems, and ""parts,""",6,License
275,Korea,2018,1C107,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007 ...",7,License
276,Korea,2018,9E610,"Technology Required for the Development, Production Operation, Install...",8,License
277,Korea,2018,3A001,Electronic Components,9,License
278,Korea,2018,7A003,Inertial Navigation Systems (Gimballed/Strapdown),10,License
279,Korea,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
280,Korea,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
281,Korea,2018,9A619,Military Gas Turbine Engines and Related Commodities,3,Exceptions
282,Korea,2018,3A611,Military Electronics,4,Exceptions
283,Korea,2018,0A606,Ground Vehicles and Related Commodities,5,Exceptions
284,Korea,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,6,Exceptions
285,Korea,2018,6A003,Cameras,7,Exceptions
286,Korea,2018,0A614,Military Training Equipment,8,Exceptions
287,Korea,2018,5D002,Information Security Software not controlled by 5D002,9,Exceptions
288,Korea,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,10,Exceptions
289,Korea,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
290,Korea,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
291,Korea,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,3,NLR with ECCN
292,Korea,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
293,Korea,2018,5A992,Mass market Encryption Commodities not controlled by 5A002,5,NLR with ECCN
294,Korea,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,6,NLR with ECCN
295,Korea,2018,2B999,"Specific Processing Equip., N.E.S.",7,NLR with ECCN
296,Korea,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,8,NLR with ECCN
297,Korea,2018,4A994,Computers Not Controlled By 4A001 or 4A003,9,NLR with ECCN
298,Korea,2018,3A999,"Specific Processing Equip., N.E.S",10,NLR with ECCN
299,Malaysia,2018,9A610,Military Aircraft and Related Commodities,1,License
300,Malaysia,2018,2B230,Pressure Transducers,2,License
301,Malaysia,2018,3A001,Electronic Components,3,License
302,Malaysia,2018,2B350,Chemical Manufacturing Facilities and Equip.,4,License
303,Malaysia,2018,3A611,Military Electronics,5,License
304,Malaysia,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,6,License
305,Malaysia,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",7,License
306,Malaysia,2018,1C350,"Chemicals, Precursors for toxic Chemical Agents",8,License
307,Malaysia,2018,1A004,Protective and Detection Equip.,9,License
308,Malaysia,2018,1C111,Propellants and Constituent Chemicals,10,License
309,Malaysia,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
310,Malaysia,2018,3A001,Electronic Components,2,Exceptions
311,Malaysia,2018,3A002,General Purpose Electronic Equip.,3,Exceptions
312,Malaysia,2018,3B001,Epitaxial Equip. for Semiconductors,4,Exceptions
313,Malaysia,2018,9A610,Military Aircraft and Related Commodities,5,Exceptions
314,Malaysia,2018,7A103,"""Information Security"" Test, Inspection and ""Production"" Equipment",6,Exceptions
315,Malaysia,2018,5D002,Information Security software related to encryption,7,Exceptions
316,Malaysia,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,8,Exceptions
317,Malaysia,2018,1C006,Fluids and Lubricating Materials,9,Exceptions
318,Malaysia,2018,3A001,Military Gas Turbine Engines and Related Commodities,10,Exceptions
319,Malaysia,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
320,Malaysia,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
321,Malaysia,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,3,NLR with ECCN
322,Malaysia,2018,5A992,Mass market Encryption Commodities not controlled by 5A002,4,NLR with ECCN
323,Malaysia,2018,3A991,Electronic Devices and Components,5,NLR with ECCN
324,Malaysia,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,6,NLR with ECCN
325,Malaysia,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,7,NLR with ECCN
326,Malaysia,2018,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003,8,NLR with ECCN
327,Malaysia,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,9,NLR with ECCN
328,Malaysia,2018,4A994,Computers Not Controlled By 4A001 or 4A003,10,NLR with ECCN
329,Netherlands,2018,9A610,Military Aircraft and Related Commodities,1,License
330,Netherlands,2018,1C111,Propellants and Constituent Chemicals,2,License
331,Netherlands,2018,3A611,Military Electronics,3,License
332,Netherlands,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",4,License
333,Netherlands,2018,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes,",5,License
334,Netherlands,2018,9A619,Military Gas Turbine Engines and Related Commodities,6,License
335,Netherlands,2018,2B006,Ground Vehicles and Related Commodities,7,License
336,Netherlands,2018,3A001,Electronic Components,8,License
337,Netherlands,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",9,License
338,Netherlands,2018,0A606,Dimensional Inspection/Measuring Systems/Electronic Assemblies,10,License
339,Netherlands,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
340,Netherlands,2018,9A610,Military Gas Turbine Engines and Related Commodities,2,Exceptions
341,Netherlands,2018,5D002,"""Software"" as follows (see List of Items Controlled)",3,Exceptions
